person_id,person_name,election_date,ward_name,votes_received,is_elected,party_name,source_url
1529c5e37b14c979,McCarthy Karen Teresa,2022-05-05,Bournbrook and Selly Park Ward,1935,False,Labour and Co-operative Party,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
a61ed939a9ba4814,Nela Musa,2022-05-05,Bournbrook and Selly Park Ward,301,False,Local Conservatives,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
fc305d2a10b0647e,Nelson Jane Elizabeth,2022-05-05,Bournbrook and Selly Park Ward,546,False,Green Party,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
82213ed78b566fbe,Neville Mathew John,2022-05-05,Bournbrook and Selly Park Ward,237,False,Green Party,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
01f3cf96b5dc7e47,Rashid Tariq,2022-05-05,Bournbrook and Selly Park Ward,273,False,Local Conservatives,https://www.birmingham.gov.uk/directory_record/370722/bournbrook_and_selly_park_ward_results
5ccfbe8e025e9069,Clements Liz,2022-05-05,Bournville and Cotteridge Ward,3069,False,Labour Party,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
554f31c315414240,Dawkins Nigel,2022-05-05,Bournville and Cotteridge Ward,1489,False,Local Conservatives,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
5e9bf5f2abed94a1,Dixon Jack,2022-05-05,Bournville and Cotteridge Ward,1228,False,Local Conservatives,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
d7b678b344afd3f3,Grindrod Fred,2022-05-05,Bournville and Cotteridge Ward,2739,False,Labour Party,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
6afb52c221d84fa8,Hentsch Phillippa Mary Elizabeth,2022-05-05,Bournville and Cotteridge Ward,383,False,Liberal Democrats,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
3e55fd5b68214173,Mabbett Ben,2022-05-05,Bournville and Cotteridge Ward,382,False,Green Party,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
f9821224d61ed716,Masters Rob,2022-05-05,Bournville and Cotteridge Ward,470,False,Green Party,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
2e15cfccfe630c8a,Radciffe David Stephen,2022-05-05,Bournville and Cotteridge Ward,275,False,Liberal Democrats,https://www.birmingham.gov.uk/directory_record/370715/bournville_and_cotteridge_ward_results
7145a9c4bb19fd27,Barker David Seán,2022-05-05,Brandwood and Kings Heath Ward,2769,False,Labour and Co-operative Party,https://www.birmingham.gov.uk/directory_record/370714/brandwood_and_kings_heath_ward_results
