person_id,person_name,party_name,effective_from,effective_to,is_current,source_url
02ba34a50d6b2c27,Brown Mick,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370739/gravelly_hill_ward_results
7b864505b8d4a32b,Harper-Nunes Siobhan Bridget,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370739/gravelly_hill_ward_results
8354048d044af9eb,Lusk David,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370739/gravelly_hill_ward_results
329d315a5925e7d9,Mehmood Asif,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370739/gravelly_hill_ward_results
31ff2893009fe0b6,Patrick Thomas,Trade Unionist and Socialist Coalition,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370739/gravelly_hill_ward_results
3af69aac1d1b5319,Ahmed Akhlaq,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370744/hall_green_north_ward_results
dfa8a029824c41be,Choudhry Tanveer,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370744/hall_green_north_ward_results
602fba8b88861b34,Courage Gareth William,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370744/hall_green_north_ward_results
2d0f72101dc52923,Hemming Alexender John Arthur,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370744/hall_green_north_ward_results
73fe70d0f0553a51,Iqbal Malik,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370744/hall_green_north_ward_results
8d9b1dacaea69ca5,Spruce Andy,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370744/hall_green_north_ward_results
c2e6c0c2944010f7,Suleman Saima,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370744/hall_green_north_ward_results
502fce981df260b8,Ahmed Shafaq,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370745/hall_green_south_ward_results
f1b0f32c15bdf46b,Huxtable Timothy Luke,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370745/hall_green_south_ward_results
e63a8b0fc6e7b9ed,Lickiss David Alan Nigel,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370745/hall_green_south_ward_results
8077ec088f88d10f,Parker David James,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370745/hall_green_south_ward_results
1b27229390c81297,Freshwater Ed,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370740/handsworth_ward_results
f65f21191415c915,Okae Fosu George Michael,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370740/handsworth_ward_results
d5bf5ab3b922799b,Quinnen Hendrina,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370740/handsworth_ward_results
cdcc953ea70c098e,Surti Devia,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370740/handsworth_ward_results
7a21854756e71e6c,Atwal Gurdial Singh,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370742/handsworth_wood_ward_results
f9d853d76f8b9b77,Burgess Christopher James Foster,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370742/handsworth_wood_ward_results
fef6af886e99a74c,Chumber Ravinder Singh,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370742/handsworth_wood_ward_results
3d5e017c2d6fc411,Cox Emily Rohaise,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370742/handsworth_wood_ward_results
715a4bef3c71b728,Kooner Narinder Kaur,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370742/handsworth_wood_ward_results
cb09f9b7ad504681,Uddin Sham,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370742/handsworth_wood_ward_results
451e5880883e9410,Brooks Martin John,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370741/harborne_ward_results
d194591979c1fe32,Crisp Alistair,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370741/harborne_ward_results
3ca1cb17d62442b4,Fowler Peter,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370741/harborne_ward_results
5ac91d822b1e1d1b,Francis Jayne,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370741/harborne_ward_results
1fbaea467a885c41,Garrett Ian Anthony George,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370741/harborne_ward_results
3ba220d750afdd5c,Harmer Joseph Benjamin,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370741/harborne_ward_results
142f29b9162f3231,O'Hara Harriet Rose,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370741/harborne_ward_results
6d65c29d14a1b5c4,Azam Adil,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370743/heartlands_ward_results
5a3dd95f2610647e,Ellinor Clair Elieen,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370743/heartlands_ward_results
9dfbf88e3363b107,Shah Shafique,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370743/heartlands_ward_results
3211dd877d09b759,Higgs Adam Andrew,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370746/highters_heath_ward_results
b789f39effec50d8,Thomas Clare Louise,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370746/highters_heath_ward_results
daaf3ade9307cd8a,Waltho Lynda Ellen,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370746/highters_heath_ward_results
f4915666da033e1f,Douglas Kingsley Seymour,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370747/holyhead_ward_results
3b80f61e9cc163a2,Hardie Andrew,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370747/holyhead_ward_results
b8d5ef9d3a2f9948,Shergill Rinkal,Labour Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370747/holyhead_ward_results
d146330e7cfeb72b,Trench Karen Geraldine,Independent,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370747/holyhead_ward_results
56b88dbbe6964d31,Aitken Alex,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370754/kings_norton_north_ward_results
79c5ff09767ddf12,Blissett Marsha,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370754/kings_norton_north_ward_results
57ee8ec1c02c1c71,Sorboen Kari Benedikte,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370754/kings_norton_north_ward_results
70bf16c7f4e67dc5,Wood Barbara Iris,The Conservative Party Candidate,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370754/kings_norton_north_ward_results
4a31efd62d5f0ae9,Clancy Robert Joseph,The Conservative Party Candidate,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370755/kings_norton_south_ward_results
b5b757d97b54cc46,Grant Rob,Green Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370755/kings_norton_south_ward_results
bf54ea502396f0c6,Kumar Sonia,Labour and Co-operative Party,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370755/kings_norton_south_ward_results
a18ede8f0de343bf,Ambler Doctor Simon John,Liberal Democrats,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370749/kingstanding_ward_results
4c04798b57b3926b,Brittain Ben,Local Conservatives,2022-05-05,,True,https://www.birmingham.gov.uk/directory_record/370749/kingstanding_ward_results
